x,y,z,marker
6.661,-24.589,-8.923,0
5.074,-70.179,-35.038,1
-7.62,1.514,-25.489,2
-9.187,-94.994,-46.483,3
6.682,-24.526,-8.758,0
5.077,-70.184,-35.034,1
-7.633,1.51,-25.483,2
-9.172,-94.994,-46.487,3
6.739,-24.469,-8.58,0
5.069,-70.186,-35.035,1
-7.633,1.51,-25.477,2
-9.15,-94.988,-46.49,3
6.77,-24.414,-8.404,0
5.066,-70.177,-35.024,1
-7.639,1.512,-25.466,2
-9.143,-94.985,-46.488,3
6.804,-24.345,-8.239,0
5.078,-70.173,-35.021,1
-7.641,1.505,-25.459,2
-9.139,-94.985,-46.483,3
6.827,-24.285,-8.059,0
5.079,-70.174,-35.012,1
-7.641,1.499,-25.45,2
-9.149,-94.977,-46.486,3
6.822,-24.214,-7.843,0
5.082,-70.182,-35.008,1
-7.623,1.501,-25.446,2
-9.158,-94.974,-46.482,3
6.862,-24.148,-7.66,0
5.091,-70.193,-35,1
-7.622,1.495,-25.437,2
-9.172,-94.973,-46.482,3
6.869,-24.08,-7.487,0
5.095,-70.2,-34.998,1
-7.613,1.497,-25.425,2
-9.18,-94.97,-46.478,3
6.89,-24.003,-7.3,0
5.096,-70.197,-34.986,1
-7.654,1.488,-25.405,2
-9.179,-94.964,-46.474,3
6.92,-23.941,-7.125,0
5.079,-70.2,-34.987,1
-7.65,1.478,-25.39,2
-9.187,-94.962,-46.477,3
6.933,-23.876,-6.961,0
5.075,-70.201,-34.982,1
-7.652,1.478,-25.377,2
-9.195,-94.961,-46.477,3
6.969,-23.793,-6.753,0
5.081,-70.198,-34.982,1
-7.676,1.473,-25.359,2
-9.204,-94.958,-46.483,3
6.987,-23.716,-6.566,0
5.085,-70.205,-34.987,1
-7.658,1.457,-25.351,2
-9.194,-94.951,-46.481,3
7,-23.644,-6.39,0
5.081,-70.205,-34.987,1
-7.657,1.463,-25.34,2
-9.197,-94.94,-46.484,3
7.014,-23.568,-6.208,0
5.094,-70.207,-34.977,1
-7.645,1.448,-25.329,2
-9.214,-94.94,-46.488,3
7.023,-23.476,-6.019,0
5.102,-70.2,-34.986,1
-7.64,1.446,-25.319,2
-9.211,-94.93,-46.481,3
7.006,-23.397,-5.824,0
5.115,-70.206,-34.984,1
-7.668,1.445,-25.302,2
-9.207,-94.921,-46.486,3
7.026,-23.31,-5.624,0
5.119,-70.203,-34.985,1
-7.675,1.455,-25.293,2
-9.195,-94.922,-46.489,3
7.033,-23.226,-5.458,0
5.123,-70.2,-34.983,1
-7.666,1.448,-25.275,2
-9.2,-94.919,-46.496,3
7.039,-23.14,-5.262,0
5.125,-70.196,-34.982,1
-7.678,1.454,-25.257,2
-9.189,-94.925,-46.492,3
7.033,-23.056,-5.077,0
5.108,-70.188,-34.98,1
-7.67,1.441,-25.252,2
-9.175,-94.927,-46.489,3
7.041,-22.964,-4.891,0
5.095,-70.19,-34.974,1
-7.649,1.439,-25.253,2
-9.176,-94.925,-46.482,3
7.042,-22.873,-4.706,0
5.09,-70.188,-34.984,1
-7.638,1.436,-25.25,2
-9.168,-94.924,-46.474,3
7.052,-22.772,-4.514,0
5.077,-70.193,-34.981,1
-7.61,1.432,-25.252,2
-9.169,-94.924,-46.477,3
7.077,-22.678,-4.323,0
5.073,-70.2,-34.987,1
-7.593,1.43,-25.245,2
-9.168,-94.925,-46.477,3
7.054,-22.595,-4.145,0
5.07,-70.21,-34.984,1
-7.584,1.425,-25.236,2
